"","AAPL","MSFT","YHOO"
"1",11.97,29.86,25.61
"2",12.24,29.81,26.85
"3",12.15,29.64,27.74
"4",12.21,29.93,27.92
"5",13.22,29.96,27.58
"6",13.86,29.66,28.7
"7",13.69,30.7,29.2
"8",13.52,31.21,29.45
"9",13.87,31.16,29.29
"10",13.56,31.1,29.05
"11",12.72,31,28.12
"12",12.64,31.11,27.64
"13",12.4,30.72,27.42
"14",12.24,30.74,26.96
"15",12.39,31.09,28.94
"16",12.32,30.45,28.21
"17",12.2,30.6,28.04
"18",12.28,30.53,27.87
"19",12.22,30.48,28.04
"20",12.25,30.86,28.31
"21",12.11,30.56,28.35
"22",12.11,30.19,28.77
"23",11.99,29.61,28.56
"24",12.02,29.51,29.35
"25",12.31,29.37,29.89
"26",12.31,29.26,30.08
"27",11.9,28.98,29.74
"28",12.13,28.94,29.17
"29",12.09,29.03,29.56
"30",12.19,29.4,30.66
"31",12.17,29.46,31.25
"32",12.12,28.74,31.91
"33",12.27,28.83,32.01
"34",12.74,29.35,31.65
"35",12.79,29.39,31.6
"36",12.72,28.9,32.1
"37",12.66,29.07,32.12
"38",11.99,27.87,30.95
"39",12.09,28.17,30.86
"40",12.44,28.09,30.86
"41",12.2,27.76,30.42
"42",12.33,27.55,30.31
"43",12.6,27.83,30.8
"44",12.53,27.61,30.39
"45",12.57,27.32,30.71
"46",12.57,27.29,29.12
"47",12.84,27.44,29.99
"48",12.63,26.72,29.56
"49",12.86,27.4,29.86
"50",12.8,27.28,30.06
"51",12.8,27.33,29.88
"52",13.02,27.83,30.03
"53",13.07,27.84,30.33
"54",13.41,28.52,31.29
"55",13.42,28.27,31.26
"56",13.36,28.02,31.36
"57",13.69,28.22,31.66
"58",13.64,27.72,31.55
"59",13.32,27.64,31.41
"60",13.39,27.75,31.34
"61",13.27,27.87,31.29
"62",13.38,27.74,31.28
"63",13.5,27.87,31.72
"64",13.47,28.5,31.62
"65",13.53,28.55,31.96
"66",13.38,28.57,31.64
"67",13.46,28.4,31.69
"68",13.23,28.11,31.17
"69",13.17,28.54,31.21
"70",12.89,28.61,31.41
"71",13.06,28.73,31.61
"72",12.91,28.85,32.09
"73",12.91,28.6,28.31
"74",12.9,28.69,27.51
"75",13,29.02,27.46
"76",13.36,28.78,27.88
"77",13.32,28.79,28.02
"78",13.62,28.99,28.06
"79",14.12,29.1,28.49
"80",14.27,30.12,28.34
"81",14.26,29.94,28.04
"82",14.21,30.4,27.73
"83",14.34,30.61,28.12
"84",14.34,30.97,28.18
"85",14.4,30.56,30.98
"86",14.85,30.71,30.38
"87",15.01,30.75,30.41
"88",15.27,30.78,30.22
"89",15.33,30.58,29.7
"90",15.53,30.89,30.05
"91",15.62,30.97,29.31
"92",15.36,30.9,28.81
"93",15.33,31.07,29.21
"94",15.63,30.98,28.57
"95",15.72,30.83,29.75
"96",16,31.05,29.35
"97",16.22,30.69,28.92
"98",16.13,30.58,28.61
"99",15.81,30.17,28.41
"100",16.23,30.48,28.58
"101",16.34,30.79,28.4
"102",16.97,31.11,28.38
"103",17.31,30.69,28.7
"104",16.91,30.59,28.78
"105",17.33,30.72,28.59
"106",17.52,30.58,28.23
"107",17.66,30.29,27.44
"108",17.72,29.62,26.98
"109",17.78,30.05,27.39
"110",17.17,30.02,27.35
"111",17.2,29.85,27.05
"112",16.79,30.39,27.38
"113",16.96,30.52,27.3
"114",17.21,30.49,27.31
"115",17.87,30.51,28.12
"116",17.67,30.46,27.63
"117",17.36,30.01,27.66
"118",17.7,30.22,27.67
"119",17.57,29.49,27.38
"120",17.48,29.49,27.64
"121",17.09,29.52,27.71
"122",17.41,29.87,27.58
"123",17.22,29.83,27.25
"124",17.43,29.47,27.13
"125",17.32,29.74,26.86
"126",18.17,30.02,27
"127",18.96,29.99,26.99
"128",18.9,29.97,27.1
"129",18.62,29.87,27.2
"130",18.91,29.33,26.97
"131",18.91,29.49,26.69
"132",19.15,30.07,26.96
"133",19.68,29.82,26.58
"134",19.73,30.03,26.7
"135",19.84,30.78,27.53
"136",19.73,30.92,26.2
"137",20,31.51,26.03
"138",20.54,31.16,25.35
"139",20.53,31.19,24.99
"140",19.27,30.8,24.84
"141",19.61,30.71,24.68
"142",20.86,29.98,24.03
"143",20.55,29.39,23.49
"144",20.2,29.4,23.62
"145",18.82,28.99,23.25
"146",19.29,29.3,23.25
"147",19.5,29.52,23.36
"148",18.84,28.96,22.92
"149",19.32,29.54,22.97
"150",19.29,29.55,23.44
"151",19.14,30,23.87
"152",18.06,29.3,23.8
"153",17.86,28.71,23.94
"154",18.26,28.63,24.57
"155",17.72,28.27,23.72
"156",17.13,28.1,23.32
"157",16.72,27.81,22.76
"158",17.44,28.25,23.54
"159",17.46,28.26,23.34
"160",18.22,28.07,23.04
"161",18.93,28.22,23.23
"162",18.72,28.3,23.13
"163",19.33,28.81,23.59
"164",18.89,28.49,23.03
"165",18.12,27.93,22.52
"166",19.15,28.59,22.55
"167",19.46,28.45,22.61
"168",19.78,28.73,22.73
"169",20.59,28.81,23.97
"170",19.54,28.48,24.1
"171",19.29,28.91,24.15
"172",18.82,28.44,23.76
"173",19.53,28.48,23.3
"174",19.36,28.93,23.71
"175",19.55,28.93,23.56
"176",19.6,29.16,23.72
"177",19.83,29.04,24.73
"178",19.77,28.72,24.95
"179",20.13,28.93,25.06
"180",20.11,28.67,25.29
"181",20.04,28.42,25.29
"182",20.59,28.65,26.05
"183",21.18,29.08,25.73
"184",21.88,29.56,26.51
"185",21.82,29.5,26.7
"186",22.07,29.49,26.27
"187",21.92,29.46,26.84
"188",22.33,29.77,27.04
"189",22.64,29.7,26.95
"190",22.56,29.45,27.17
"191",22.32,29.71,27.15
"192",23.06,29.84,27.88
"193",23.99,29.84,28.05
"194",23.98,30.1,28.37
"195",23.83,30.23,28.36
"196",23.18,29.91,27.65
"197",23.89,30.17,28.48
"198",23.85,30.04,27.86
"199",24.23,30.32,26.69
"200",24.68,31.08,28.82
"201",24.79,31.16,29.35
"202",24.35,30.17,29.03
"203",24.91,30.51,29.85
"204",26.59,30.9,30.64
"205",26.56,31.25,30.68
"206",26.11,31.99,31.34
"207",26.39,35.03,33.63
"208",26.44,34.57,31.79
"209",26.71,35.57,30.83
"210",27.14,36.81,31.1
"211",26.78,37.06,30.22
"212",26.84,37.06,31.11
"213",26.6,36.73,31.36
"214",27.4,36.41,29.93
"215",26.61,35.52,27.63
"216",25.07,34.74,26.7
"217",23.62,33.73,25.79
"218",21.97,33.38,24.78
"219",24.28,34.46,26.1
"220",23.73,33.93,25.07
"221",23.47,33.76,25.42
"222",23.77,34.09,26.82
"223",23.42,33.96,26.76
"224",24.12,34.58,26.72
"225",24.07,34.23,25.71
"226",24.51,34.11,26.13
"227",24.65,32.97,25.22
"228",24.97,33.06,25.59
"229",25.75,33.7,26.2
"230",26.33,33.59,26.63
"231",26.03,33.6,26.81
"232",25.55,32.92,26.61
"233",25.69,32.77,26.42
"234",26.5,34.15,25.98
"235",27.14,34.55,25.96
"236",27.76,34.53,25.63
"237",27.74,34.76,25.2
"238",26.93,34.1,24.47
"239",27.27,34.47,24.54
"240",27.4,35.22,24.38
"241",27.2,35.31,24.06
"242",26.34,34.39,23.04
"243",26.14,34.74,23.02
"244",26.16,34.79,23.31
"245",26.74,35.52,23.64
"246",27.7,36.06,24.01
"247",28.4,36.58,24.05
"248",28.42,36.61,23.96
"249",28.37,35.97,23.71
"250",28.55,36.12,23.45
"251",28.3,35.6,23.26
"252",27.83,35.22,23.72
"253",27.85,35.37,23.84
"254",25.72,34.38,23.16
"255",25.38,34.61,23.18
"256",24.46,33.45,22.61
"257",25.6,34.44,22.56
"258",25.43,34.33,24.09
"259",24.67,33.91,23.36
"260",25.54,34.39,23.7
"261",24.15,34,22.91
"262",22.81,33.23,21.95
"263",22.98,33.11,21.22
"264",23.05,33.01,20.78
"265",22.23,31.99,19.92
"266",19.87,31.93,20.01
"267",19.37,33.25,21.69
"268",18.57,32.94,21.94
"269",18.57,32.72,20.78
"270",18.79,32.6,20.81
"271",18.88,32.2,19.05
"272",19.34,32.6,19.18
"273",19.11,30.45,28.38
"274",18.81,30.19,29.33
"275",18.48,29.07,28.98
"276",17.43,28.52,28.57
"277",17.32,28.12,29.04
"278",17.93,28.56,29.2
"279",18.49,28.21,29.87
"280",17.84,28.34,29.57
"281",18.49,28.96,29.88
"282",18.21,28.5,29.98
"283",17.8,28.42,29.66
"284",17.45,28.17,29.01
"285",17.69,28.22,28.83
"286",17.36,28.1,28.42
"287",17.07,27.68,28.42
"288",17.11,27.84,28.13
"289",17.02,28.38,28.22
"290",17.57,28.26,28.37
"291",18.56,27.93,28.15
"292",17.86,27.2,27.78
"293",17.39,26.99,27.77
"294",17.8,27.59,28.06
"295",17.78,28.12,28.67
"296",17.28,27.57,28.7
"297",17.46,27.87,29.03
"298",17.1,28.05,28.51
"299",18.19,29.28,29
"300",18,28.63,28.45
"301",18.28,28.62,27.5
"302",18.09,27.96,26.71
"303",18.1,28.3,25.85
"304",18.97,29.42,27.66
"305",18.52,28.62,27.07
"306",19.04,29.18,27.66
"307",19.93,29.17,27.52
"308",20.14,29.14,28.73
"309",20.72,28.56,28.49
"310",20.04,28.05,28.09
"311",20.43,27.91,28.99
"312",20.5,28.38,28.93
"313",21.36,29.5,28.5
"314",21.07,29.16,27.82
"315",21.66,29,28.13
"316",21.87,29.16,28.36
"317",22.27,29.16,27.7
"318",21.83,28.75,27.7
"319",21.63,28.89,27.77
"320",22.08,29.11,28.59
"321",21.02,28.28,28.34
"322",21.11,28.06,27.8
"323",21.2,28.25,28.17
"324",21.96,28.95,28.31
"325",22.07,29.22,28.03
"326",23.01,30,28.43
"327",24.02,30.42,28.55
"328",22.89,30.25,28.54
"329",23.27,31.45,28.08
"330",24.13,31.8,27.3
"331",24.25,29.83,26.8
"332",24.61,28.99,26.43
"333",25.01,28.64,27.36
"334",24.85,28.52,27.41
"335",25.71,29.4,26.81
"336",25.85,29.24,28.67
"337",26.39,29.08,24.37
